time/total_timesteps,time/iterations,train/explained_variance,train/value_loss,time/fps,train/n_updates,time/time_elapsed,train/policy_loss,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
500,100,-0.01405024528503418,596.7423095703125,511,99,0,-18.14350128173828,0.0007,-1.0652339458465576,,
1000,200,0.002615988254547119,18.254446029663086,380,199,2,1.3772354125976562,0.0007,-1.063464879989624,,
1500,300,-3.563645362854004,0.042532507330179214,377,299,3,-0.2285340577363968,0.0007,-1.0977981090545654,,
2000,400,-0.009431958198547363,752.9269409179688,373,399,5,27.830013275146484,0.0007,-1.0941919088363647,,
2500,500,-0.03414034843444824,94.57954406738281,371,499,6,9.150273323059082,0.0007,-1.078336477279663,2500.0,-561.031595
3000,600,0.020700573921203613,13.559880256652832,382,599,7,0.8282607793807983,0.0007,-1.059676170349121,2500.0,-561.031595
3500,700,0.027242958545684814,16.490760803222656,387,699,9,1.9220428466796875,0.0007,-1.0701324939727783,2500.0,-561.031595
4000,800,0.07318425178527832,66.43376922607422,400,799,9,8.386903762817383,0.0007,-1.064253568649292,2500.0,-561.031595
4500,900,0.010547459125518799,30.272756576538086,401,899,11,-5.02240514755249,0.0007,-1.0318328142166138,2500.0,-561.031595
5000,1000,-0.9941622018814087,0.23348674178123474,408,999,12,-0.24569277465343475,0.0007,-1.0966497659683228,2500.0,-450.6965685
5500,1100,0.009786605834960938,51.2014045715332,418,1099,13,-6.8535566329956055,0.0007,-1.084725022315979,2500.0,-450.6965685
6000,1200,0.26266157627105713,11.044268608093262,427,1199,14,-3.589703321456909,0.0007,-1.0923492908477783,2500.0,-450.6965685
6500,1300,-1.1234440803527832,1.110366702079773,428,1299,15,-0.35432910919189453,0.0007,-1.0796127319335938,2500.0,-450.6965685
7000,1400,-0.016814589500427246,63.534461975097656,419,1399,16,9.522109031677246,0.0007,-1.0069568157196045,2500.0,-450.6965685
7500,1500,-5.748073577880859,0.022531714290380478,419,1499,17,0.09128229320049286,0.0007,-0.9692317843437195,2500.0,-484.47016766666667
8000,1600,-14.68657398223877,0.0071595110930502415,423,1599,18,0.014207710511982441,0.0007,-0.8938766717910767,2500.0,-484.47016766666667
8500,1700,-8.359399795532227,0.008822903037071228,423,1699,20,0.05223124474287033,0.0007,-0.8017013669013977,2500.0,-484.47016766666667
9000,1800,-6.890453815460205,0.0006776775699108839,424,1799,21,-0.011236651800572872,0.0007,-0.7702093124389648,2500.0,-484.47016766666667
9500,1900,-12851.603515625,0.007346524391323328,428,1899,22,-0.03453521803021431,0.0007,-0.7425119876861572,2500.0,-484.47016766666667
10000,2000,-451.705078125,0.002118958393111825,433,1999,23,0.018676817417144775,0.0007,-0.6582752466201782,2500.0,-362.1435945
10500,2100,-129.4087677001953,0.0003183266962878406,436,2099,24,0.007145939860492945,0.0007,-0.5275894403457642,2500.0,-362.1435945
11000,2200,-13.677794456481934,7.988660217961296e-05,438,2199,25,0.00039341943920589983,0.0007,-0.6054421663284302,2500.0,-362.1435945
11500,2300,-3925.76611328125,0.0002455244539305568,436,2299,26,0.006518429610878229,0.0007,-0.5694203972816467,2500.0,-362.1435945
12000,2400,-294.32806396484375,0.001643283641897142,434,2399,27,0.010092123411595821,0.0007,-0.36596018075942993,2500.0,-362.1435945
12500,2500,-62.038856506347656,0.0003000912256538868,435,2499,28,0.004331216216087341,0.0007,-0.23385882377624512,2500.0,-283.57797700000003
13000,2600,-2175.3642578125,0.0003242269449401647,434,2599,29,-0.001509656896814704,0.0007,-0.30584996938705444,2500.0,-283.57797700000003
13500,2700,-4.283476829528809,3.888440005539451e-06,438,2699,30,-0.0001292517117690295,0.0007,-0.2985460162162781,2500.0,-283.57797700000003
14000,2800,-74.92352294921875,7.741432636976242e-05,437,2799,32,0.0007643628632649779,0.0007,-0.261546790599823,2500.0,-283.57797700000003
14500,2900,-85.61215209960938,1.013297151075676e-05,436,2899,33,-0.002311789197847247,0.0007,-0.24296073615550995,2500.0,-283.57797700000003
15000,3000,-0.04912364482879639,1.2723104418910225e-06,440,2999,34,5.596617847913876e-05,0.0007,-0.20978708565235138,2500.0,-237.00418349999998
15500,3100,-246.26466369628906,2.747421831372776e-06,442,3099,34,0.0009958099108189344,0.0007,-0.21675162017345428,2500.0,-237.00418349999998
16000,3200,-30.806957244873047,7.760639908482858e-10,442,3199,36,2.22205271711573e-05,0.0007,-0.2188860923051834,2500.0,-237.00418349999998
16500,3300,-5.831363201141357,2.6141321746164792e-11,443,3299,37,-1.750592417693042e-07,0.0007,-0.2184373438358307,2500.0,-237.00418349999998
17000,3400,-76.61829376220703,5.312192526141235e-12,446,3399,38,-8.906660298180213e-09,0.0007,-0.21848902106285095,2500.0,-237.00418349999998
17500,3500,-0.8745861053466797,9.909393048962087e-14,446,3499,39,-1.6200043972958156e-08,0.0007,-0.21794483065605164,2500.0,-203.146443
18000,3600,-0.631973385810852,2.5193912169159394e-13,450,3599,39,2.606221372047912e-08,0.0007,-0.21809911727905273,2500.0,-203.146443
18500,3700,-1.140096664428711,2.157705437932922e-12,450,3699,41,7.661658685265138e-08,0.0007,-0.21853050589561462,2500.0,-203.146443
19000,3800,-94.62808990478516,6.932602278700295e-13,452,3799,42,1.0711561344578513e-06,0.0007,-0.21782329678535461,2500.0,-203.146443
19500,3900,0.2367587685585022,8.155642206020275e-08,450,3899,43,1.096130108635407e-05,0.0007,-0.1784857213497162,2500.0,-203.146443
20000,4000,-285.14801025390625,1.3618503658108239e-08,450,3999,44,-1.4487278576780227e-06,0.0007,-0.17657439410686493,2500.0,-180.030883625
20500,4100,-23.452613830566406,1.2032073115619824e-08,452,4099,45,-4.657725185097661e-06,0.0007,-0.17606279253959656,2500.0,-180.030883625
21000,4200,-65.80656433105469,3.5286673583101447e-10,455,4199,46,-6.683297897325247e-07,0.0007,-0.17617736756801605,2500.0,-180.030883625
21500,4300,-0.49611711502075195,2.162354045820436e-10,456,4299,47,5.682139772034134e-07,0.0007,-0.17712578177452087,2500.0,-180.030883625
22000,4400,-16.849773406982422,1.164919181083357e-12,459,4399,47,4.145009313560877e-08,0.0007,-0.176372691988945,2500.0,-180.030883625
22500,4500,-4.128051280975342,4.764190344314079e-14,460,4499,48,-3.426045280807699e-10,0.0007,-0.17625924944877625,2500.0,-160.0274521111111
23000,4600,-0.9839569330215454,4.101360223662809e-11,463,4599,49,-1.9398029849071463e-07,0.0007,-0.17746277153491974,2500.0,-160.0274521111111
23500,4700,-4495.8671875,4.8455131462787904e-08,466,4699,50,3.2211423786066007e-06,0.0007,-0.12656466662883759,2500.0,-160.0274521111111
24000,4800,-20.646472930908203,5.2844096286308595e-12,469,4799,51,3.726207964405148e-08,0.0007,-0.1240730881690979,2500.0,-160.0274521111111
24500,4900,-1.042297601699829,1.0553369289567627e-10,471,4899,51,-2.4116002350638155e-07,0.0007,-0.12515084445476532,2500.0,-160.0274521111111
25000,5000,0.3008202910423279,9.972062287033623e-09,472,4999,52,2.6512605018069735e-06,0.0007,-0.12607714533805847,2500.0,-144.0247069
