time/total_timesteps,train/explained_variance,train/learning_rate,time/fps,train/n_updates,train/entropy_loss,train/value_loss,time/time_elapsed,time/iterations,train/policy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
500,-0.7771929502487183,0.0007,576,99,-1.0957281589508057,0.00018638736219145358,0,100,-0.00894120428711176,,
1000,0.49785542488098145,0.0007,633,199,-1.0976699590682983,8.956955753092188e-06,1,200,0.0005735318409278989,,
1500,-24.733848571777344,0.0007,701,299,-1.0985323190689087,4.420543064043159e-06,2,300,0.001008321763947606,,
2000,0.24563443660736084,0.0007,684,399,-1.098016381263733,0.0009024917962960899,2,400,0.03045506775379181,,
2500,-0.12232327461242676,0.0007,699,499,-1.0984282493591309,0.0005333396838977933,3,500,0.02216019667685032,2500.0,-0.733765
3000,-8.239053726196289,0.0007,681,599,-1.0965924263000488,0.0005881842807866633,4,600,-0.02160026505589485,2500.0,-0.733765
3500,-0.45834624767303467,0.0007,672,699,-1.0882227420806885,1.9447101294645108e-05,5,700,0.0007089268183335662,2500.0,-0.733765
4000,-0.28548669815063477,0.0007,670,799,-1.0913485288619995,7.623569399584085e-05,5,800,0.005810359492897987,2500.0,-0.733765
4500,-2.746563673019409,0.0007,670,899,-1.0604546070098877,0.00023555519874207675,6,900,-0.01592647284269333,2500.0,-0.733765
5000,-9.551080703735352,0.0007,677,999,-1.0843852758407593,2.9059869120828807e-05,7,1000,-0.005603452678769827,2500.0,-0.6751635
5500,0.8456891924142838,0.0007,677,1099,-1.0523432493209839,5.520827926375205e-06,8,1100,-0.0020761715713888407,2500.0,-0.6751635
6000,-17.29705238342285,0.0007,690,1199,-1.0514475107192993,6.63277241983451e-05,8,1200,-0.0010447551030665636,2500.0,-0.6751635
6500,-6.2070088386535645,0.0007,689,1299,-1.050351858139038,5.343857264961116e-05,9,1300,0.006978215184062719,2500.0,-0.6751635
7000,-0.17201924324035645,0.0007,697,1399,-1.0714341402053833,0.0002440185780869797,10,1400,0.01408840250223875,2500.0,-0.6751635
7500,-101.91371154785156,0.0007,701,1499,-1.0628503561019897,1.1300717233098112e-05,10,1500,0.002324319677427411,2500.0,-0.8150936666666667
8000,-11.518990516662598,0.0007,705,1599,-1.0548012256622314,6.286952611844754e-06,11,1600,0.0011500611435621977,2500.0,-0.8150936666666667
8500,0.13153523206710815,0.0007,710,1699,-1.0678491592407227,4.378013181849383e-05,11,1700,-0.0067806667648255825,2500.0,-0.8150936666666667
9000,-423.5140380859375,0.0007,714,1799,-1.0532399415969849,5.753860023105517e-05,12,1800,-0.0070068747736513615,2500.0,-0.8150936666666667
9500,-8939.2421875,0.0007,713,1899,-1.0474114418029785,1.4832074157311581e-05,13,1900,-0.001684514805674553,2500.0,-0.8150936666666667
10000,-1314.657958984375,0.0007,717,1999,-1.0420030355453491,6.384415610227734e-05,13,2000,-0.004792357794940472,2500.0,-0.73045125
10500,-240.31153869628906,0.0007,724,2099,-1.0106701850891113,0.00010179825767409056,14,2100,0.0037317394744604826,2500.0,-0.73045125
11000,-7.744446754455566,0.0007,729,2199,-1.0264068841934204,0.00012349084136076272,15,2200,-0.009621425531804562,2500.0,-0.73045125
11500,-0.003192305564880371,0.0007,730,2299,-1.0320409536361694,1.3018658137298189e-05,15,2300,-0.00247775437310338,2500.0,-0.73045125
12000,-115.91034698486328,0.0007,731,2399,-1.0678032636642456,9.707627759780735e-05,16,2400,0.01003033947199583,2500.0,-0.73045125
12500,-38.351844787597656,0.0007,736,2499,-1.0610512495040894,1.441533549950691e-05,16,2500,-0.0034556835889816284,2500.0,-0.6663984000000001
13000,-4.542599678039551,0.0007,745,2599,-1.0207034349441528,0.00021096695854794234,17,2600,0.009646965190768242,2500.0,-0.6663984000000001
13500,-21.843782424926758,0.0007,750,2699,-0.9784876704216003,3.290086897322908e-05,17,2700,-0.0038596712984144688,2500.0,-0.6663984000000001
14000,-1.5353269577026367,0.0007,752,2799,-0.9630495309829712,0.00010604585986584425,18,2800,-0.004857645370066166,2500.0,-0.6663984000000001
14500,-4.406615257263184,0.0007,757,2899,-0.8953010439872742,0.0001812357222661376,19,2900,0.008615786209702492,2500.0,-0.6663984000000001
15000,-51.10573196411133,0.0007,757,2999,-0.9167855978012085,3.2188513614528347e-06,19,3000,0.0013078432530164719,2500.0,-0.6007886666666667
15500,-4321.84765625,0.0007,762,3099,-0.8535076379776001,0.00015225551032926887,20,3100,0.0029147150926291943,2500.0,-0.6007886666666667
16000,0.8630746454000473,0.0007,767,3199,-0.8145925402641296,1.3654346275870921e-06,20,3200,-0.000484321266412735,2500.0,-0.6007886666666667
16500,-0.7861523628234863,0.0007,768,3299,-0.7315354347229004,2.3661436898692045e-06,21,3300,0.0011121723800897598,2500.0,-0.6007886666666667
17000,-46.81610107421875,0.0007,771,3399,-0.7380610704421997,5.03717217270605e-07,22,3400,0.000166984653333202,2500.0,-0.6007886666666667
17500,-10.468143463134766,0.0007,771,3499,-0.6973233819007874,1.5672799236199353e-07,22,3500,-0.00011598508717725053,2500.0,-0.5427995714285715
18000,-60234.51171875,0.0007,774,3599,-0.7365661263465881,1.7842823751834658e-07,23,3600,0.00023332206183113158,2500.0,-0.5427995714285715
